Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Bid;Ask
13-May-2025;78 250;-120;-0%;78 500;78 080;78 510;15 865;78 450;78 490
12-May-2025;78 370;+240;+0%;78 110;78 080;78 600;21 770;78 510;78 600
09-May-2025;78 130;+40;+0%;78 150;77 900;78 650;19 805;77 940;77 960
08-May-2025;78 090;-210;-0%;78 070;77 740;78 390;24 600;77 900;77 930
07-May-2025;78 300;+370;+0%;78 010;78 010;78 800;25 160;78 050;78 200
06-May-2025;77 930;+200;+0%;77 340;77 340;78 200;19 190;77 860;77 950
30-Apr-2025;77 730;-50;-0%;78 190;77 450;78 190;25 460;77 360;77 450
29-Apr-2025;77 780;+220;+0%;77 950;77 530;77 950;28 377;77 780;77 840
28-Apr-2025;77 560;-310;-0%;77 740;77 260;77 900;35 317;77 760;77 830
25-Apr-2025;77 870;0;0%;77 740;77 540;78 140;33 946;77 650;77 690
24-Apr-2025;77 870;-120;-0%;78 130;77 580;78 270;46 797;77 580;77 630
23-Apr-2025;77 990;+860;+1%;77 410;77 340;78 640;42 189;78 070;78 100
22-Apr-2025;77 130;+490;+1%;77 590;76 810;77 620;48 320;77 330;77 340
21-Apr-2025;76 640;+520;+1%;76 160;75 970;77 480;47 202;77 420;77 440
18-Apr-2025;76 120;+170;+0%;75 820;75 650;76 360;43 927;76 220;76 270
17-Apr-2025;75 950;+300;+0%;75 490;75 440;76 250;53 331;75 840;75 870
16-Apr-2025;75 650;-440;-1%;75 730;75 070;76 180;71 943;75 350;75 370
15-Apr-2025;76 090;-50;-0%;76 300;75 730;76 300;2 100;;76 150
14-Apr-2025;76 140;+1 330;+2%;75 530;75 330;76 460;7 440;76 060;76 410
11-Apr-2025;74 810;-30;-0%;75 150;74 400;75 370;11 385;75 370;75 380
10-Apr-2025;74 840;+2 500;+3%;71 910;71 900;75 760;15 585;75 400;75 550
09-Apr-2025;72 340;-1 100;-1%;73 530;71 580;74 080;18 705;72 190;72 280
08-Apr-2025;73 440;-880;-1%;72 820;72 710;74 700;23 245;73 450;73 490
07-Apr-2025;74 320;-4 790;-6%;73 570;73 570;75 750;26 110;;73 570
03-Apr-2025;79 110;-810;-1%;79 840;78 710;79 970;25 970;78 850;78 890
02-Apr-2025;79 920;-60;-0%;79 910;79 600;80 210;20 890;79 900;79 930
01-Apr-2025;79 980;-210;-0%;79 890;79 500;80 450;18 748;80 350;80 490
31-Mar-2025;80 190;-480;-1%;80 690;79 800;81 170;29 240;79 910;79 950
28-Mar-2025;80 670;-900;-1%;80 990;80 400;81 150;41 173;80 430;80 460
27-Mar-2025;81 570;-800;-1%;81 630;81 140;81 950;36 197;81 510;81 550
26-Mar-2025;82 370;+720;+1%;81 960;81 640;83 270;41 938;81 910;81 980
25-Mar-2025;81 650;+630;+1%;81 970;81 400;82 060;42 526;81 880;81 900
24-Mar-2025;81 020;-100;-0%;80 550;80 180;81 870;43 262;81 810;81 850
21-Mar-2025;81 120;-240;-0%;81 320;80 520;81 740;51 356;80 600;80 630
20-Mar-2025;81 360;+740;+1%;81 140;80 790;81 660;45 194;81 610;81 640
19-Mar-2025;80 620;+350;+0%;80 440;80 150;81 020;42 972;80 810;80 850
18-Mar-2025;80 270;+190;+0%;80 200;79 850;80 550;46 064;80 170;80 200
17-Mar-2025;80 080;+180;+0%;80 100;79 690;83 000;3 585;79 990;80 490
14-Mar-2025;79 900;+420;+1%;79 230;79 200;80 280;6 900;80 100;80 300
13-Mar-2025;79 480;+790;+1%;79 900;79 180;79 900;8 190;79 180;79 250
12-Mar-2025;78 690;+970;+1%;78 270;78 210;79 370;13 625;79 200;79 470
11-Mar-2025;77 720;-550;-1%;78 170;77 310;78 200;16 520;77 900;77 960
10-Mar-2025;78 270;-350;-0%;78 420;78 090;78 800;15 900;78 180;78 230
07-Mar-2025;78 620;+450;+1%;78 430;78 230;79 160;16 230;78 210;78 250
06-Mar-2025;78 170;+1 200;+2%;77 830;77 590;78 440;17 520;78 100;78 170
05-Mar-2025;76 970;0;0%;76 950;76 650;77 440;24 005;77 350;77 440
04-Mar-2025;76 970;0;0%;77 060;76 810;77 270;16 990;76 830;76 860
03-Mar-2025;76 970;+120;+0%;76 800;76 570;77 200;18 285;76 930;76 970
28-Feb-2025;76 850;-30;-0%;76 960;76 650;77 180;28 440;76 710;76 750
27-Feb-2025;76 880;-160;-0%;77 200;76 740;77 200;28 334;76 920;76 940
26-Feb-2025;77 040;-30;-0%;77 010;76 510;77 420;44 912;76 980;77 030
25-Feb-2025;77 070;-180;-0%;77 220;76 810;77 430;43 436;76 810;76 850
24-Feb-2025;77 250;-90;-0%;77 290;77 040;77 540;60 456;77 140;77 160
21-Feb-2025;77 340;-40;-0%;77 730;76 910;77 750;61 733;77 010;77 020
20-Feb-2025;77 380;+380;+0%;77 510;77 100;77 740;62 578;77 620;77 640
19-Feb-2025;77 000;+210;+0%;76 720;76 670;77 370;55 466;77 070;77 100
18-Feb-2025;76 790;-480;-1%;76 740;76 620;77 030;67 057;76 840;76 850
17-Feb-2025;77 270;-320;-0%;78 110;76 710;78 250;3 770;76 200;76 950
14-Feb-2025;77 590;+370;+0%;77 280;77 000;78 070;8 005;77 860;78 080
13-Feb-2025;77 220;+570;+1%;76 830;76 750;77 500;11 395;77 260;77 380
12-Feb-2025;76 650;-360;-0%;76 560;76 400;76 860;16 435;76 770;76 820
11-Feb-2025;77 010;-70;-0%;77 180;76 780;77 420;16 150;76 920;76 930
10-Feb-2025;77 080;+350;+0%;77 220;76 800;77 730;22 090;77 030;77 230
07-Feb-2025;76 730;+760;+1%;75 940;75 890;77 180;21 360;77 070;77 110
06-Feb-2025;75 970;+770;+1%;74 920;74 760;76 390;23 410;76 320;76 380
05-Feb-2025;75 200;-200;-0%;75 420;75 000;75 420;12 365;75 190;75 230
27-Jan-2025;75 400;+90;+0%;75 840;75 130;75 960;13 063;75 350;75 650
24-Jan-2025;75 310;+300;+0%;75 110;74 990;75 730;19 922;75 710;75 770
23-Jan-2025;75 010;-420;-1%;75 430;74 800;75 500;28 198;74 810;74 850
22-Jan-2025;75 430;-90;-0%;75 280;75 240;75 620;25 064;75 360;75 390
21-Jan-2025;75 520;+10;+0%;75 180;75 110;75 760;35 656;75 490;75 520
20-Jan-2025;75 510;-710;-1%;76 280;75 220;76 280;41 043;75 260;75 300
17-Jan-2025;76 220;+440;+1%;76 160;75 920;76 450;39 017;76 380;76 410
16-Jan-2025;75 780;+440;+1%;75 140;75 140;76 150;55 262;76 080;76 100
15-Jan-2025;75 340;0;0%;75 400;75 100;76 440;2 115;76 000;76 180
14-Jan-2025;75 340;-10;-0%;75 460;75 020;75 500;6 885;75 360;75 400
13-Jan-2025;75 350;+90;+0%;75 170;74 920;75 570;10 965;75 460;75 550
10-Jan-2025;75 260;+520;+1%;75 000;75 000;75 370;10 835;75 230;75 250
09-Jan-2025;74 740;+350;+0%;74 260;74 240;74 960;10 970;74 900;74 940
08-Jan-2025;74 390;+60;+0%;74 460;74 260;74 540;10 925;74 430;74 460
07-Jan-2025;74 330;+630;+1%;74 320;74 100;74 650;14 460;74 420;74 440
06-Jan-2025;73 700;+640;+1%;73 190;73 140;74 050;15 710;73 570;73 620
03-Jan-2025;73 060;-270;-0%;73 110;72 810;73 330;19 585;72 900;72 950
02-Jan-2025;73 330;-470;-1%;73 480;73 000;73 480;19 700;73 260;73 300
31-Dec-2024;73 800;-400;-1%;74 000;73 670;74 000;24 337;73 790;73 800
30-Dec-2024;74 200;-110;-0%;74 020;73 950;74 320;24 875;74 210;74 230
27-Dec-2024;74 310;+150;+0%;74 490;74 080;74 680;30 176;74 090;74 120
26-Dec-2024;74 160;+100;+0%;74 210;74 040;74 290;25 191;74 050;74 070
25-Dec-2024;74 060;+130;+0%;73 920;73 920;74 180;34 693;74 100;74 150
24-Dec-2024;73 930;-100;-0%;73 980;73 730;74 100;36 829;74 030;74 050
23-Dec-2024;74 030;+300;+0%;73 650;73 580;74 320;50 698;74 160;74 170
20-Dec-2024;73 730;-250;-0%;73 700;73 560;73 920;53 856;73 820;73 840
19-Dec-2024;73 980;-50;-0%;74 250;73 610;74 540;63 451;73 850;73 870
18-Dec-2024;74 030;-530;-1%;74 020;73 870;74 230;55 625;73 910;73 930
17-Dec-2024;74 560;+190;+0%;74 440;74 280;74 860;50 511;74 340;74 350
16-Dec-2024;74 370;-310;-0%;74 750;74 200;74 870;3 070;73 300;74 880
13-Dec-2024;74 680;-700;-1%;75 250;74 520;75 250;8 380;74 600;74 740
12-Dec-2024;75 380;-180;-0%;75 210;75 210;75 510;9 820;75 390;75 460
11-Dec-2024;75 560;+220;+0%;75 100;75 090;75 850;12 160;75 450;75 500
10-Dec-2024;75 340;+530;+1%;75 120;75 050;75 650;13 395;75 090;75 140
09-Dec-2024;74 810;+250;+0%;74 790;74 610;75 000;14 155;74 720;74 780
06-Dec-2024;74 560;+90;+0%;74 580;74 300;74 860;14 665;74 730;74 830
05-Dec-2024;74 470;-220;-0%;74 550;74 230;74 690;15 200;74 490;74 570
04-Dec-2024;74 690;+620;+1%;74 440;74 310;75 090;15 935;74 680;74 740
03-Dec-2024;74 070;+340;+0%;73 760;73 760;74 300;18 905;74 260;74 300
02-Dec-2024;73 730;-70;-0%;73 790;73 520;73 920;19 397;73 630;73 770
29-Nov-2024;73 800;-60;-0%;73 610;73 530;74 000;28 407;73 920;73 950
28-Nov-2024;73 860;-50;-0%;73 810;73 700;74 070;28 831;73 750;73 800
27-Nov-2024;73 910;+80;+0%;74 000;73 660;74 320;31 290;74 100;74 110
26-Nov-2024;73 830;-210;-0%;74 180;73 570;74 180;35 107;73 730;73 830
25-Nov-2024;74 040;+140;+0%;73 480;73 410;74 380;51 241;74 120;74 160
22-Nov-2024;73 900;-550;-1%;74 100;73 580;74 210;53 745;73 750;73 780
21-Nov-2024;74 450;+50;+0%;74 580;74 280;74 720;38 152;74 420;74 450
20-Nov-2024;74 400;+370;+0%;73 950;73 910;74 720;58 519;74 550;74 570
19-Nov-2024;74 030;+200;+0%;73 550;73 510;74 490;61 065;74 300;74 330
18-Nov-2024;73 830;-10;-0%;74 600;73 290;74 630;91 785;73 720;73 760
15-Nov-2024;73 840;+320;+0%;73 110;73 110;74 100;2 350;73 750;74 100
14-Nov-2024;73 520;-1 140;-2%;74 210;73 060;74 400;8 355;73 110;73 180
13-Nov-2024;74 660;-1 100;-1%;75 000;74 160;75 160;11 795;74 160;74 220
12-Nov-2024;75 760;-730;-1%;76 120;75 210;76 210;16 505;75 300;75 330
11-Nov-2024;76 490;-720;-1%;76 530;76 350;76 800;14 390;76 510;76 580
08-Nov-2024;77 210;+1 170;+2%;76 890;76 870;77 670;16 710;77 000;77 110
07-Nov-2024;76 040;-1 270;-2%;76 200;75 530;76 640;27 195;76 400;76 500
06-Nov-2024;77 310;-160;-0%;77 570;76 600;78 090;23 160;76 710;76 730
05-Nov-2024;77 470;+510;+1%;77 100;76 880;77 750;18 845;77 560;77 590
04-Nov-2024;76 960;+480;+1%;76 610;76 380;77 570;23 735;77 330;77 390
01-Nov-2024;76 480;-10;-0%;76 600;76 150;76 680;22 911;76 500;76 520
31-Oct-2024;76 490;-110;-0%;76 270;76 230;76 710;25 907;76 500;76 590
30-Oct-2024;76 600;+110;+0%;76 550;76 340;76 960;28 041;76 570;76 580
29-Oct-2024;76 490;-90;-0%;76 600;76 360;76 730;30 096;76 430;76 490
28-Oct-2024;76 580;+110;+0%;76 520;76 430;76 820;31 028;76 740;76 790
25-Oct-2024;76 470;-20;-0%;76 770;76 150;76 770;46 138;76 390;76 410
24-Oct-2024;76 490;-310;-0%;76 170;76 070;76 990;41 843;76 920;76 950
23-Oct-2024;76 800;-150;-0%;77 130;76 600;77 180;39 999;76 640;76 670
22-Oct-2024;76 950;-400;-1%;77 430;76 540;77 630;55 320;77 090;77 110
21-Oct-2024;77 350;+730;+1%;77 200;76 760;77 740;64 098;77 610;77 650
18-Oct-2024;76 620;-100;-0%;76 300;76 110;77 250;68 575;76 980;77 000
17-Oct-2024;76 720;+150;+0%;76 920;75 980;77 370;83 530;76 010;76 030
16-Oct-2024;76 570;-620;-1%;76 340;76 220;76 750;72 722;76 700;76 720
15-Oct-2024;77 190;-290;-0%;82 900;76 330;82 900;6 945;76 050;77 690
14-Oct-2024;77 480;+120;+0%;77 410;77 220;78 060;12 410;77 500;77 700
11-Oct-2024;77 360;+180;+0%;77 000;77 000;77 650;14 185;77 180;77 260
10-Oct-2024;77 180;-490;-1%;77 100;76 560;77 510;20 875;76 930;76 950
09-Oct-2024;77 670;-600;-1%;77 430;77 320;78 000;19 335;77 620;77 700
08-Oct-2024;78 270;-670;-1%;78 720;77 370;79 270;29 769;77 360;77 380
30-Sep-2024;78 940;+220;+0%;78 600;78 210;79 510;31 410;78 860;79 140
27-Sep-2024;78 720;+1 310;+2%;78 480;77 940;79 250;45 409;78 810;78 890
26-Sep-2024;77 410;-50;-0%;77 280;77 000;77 860;44 174;77 760;77 810
25-Sep-2024;77 460;+1 360;+2%;77 060;77 000;78 130;69 020;77 120;77 170
24-Sep-2024;76 100;+690;+1%;75 500;75 410;76 780;91 754;76 750;76 770
23-Sep-2024;75 410;-360;-0%;75 790;75 130;75 900;82 342;75 280;75 310
20-Sep-2024;75 770;+880;+1%;75 910;75 430;76 110;94 888;75 830;75 840
19-Sep-2024;74 890;+510;+1%;74 810;74 350;75 670;106 573;75 640;75 650
18-Sep-2024;74 380;+180;+0%;74 410;74 150;74 770;2 295;74 260;74 500
13-Sep-2024;74 200;+630;+1%;74 050;73 800;74 440;7 500;73 850;74 000
12-Sep-2024;73 570;+750;+1%;73 260;72 760;74 010;9 880;73 810;73 910
11-Sep-2024;72 820;-50;-0%;72 860;72 310;73 360;13 895;73 200;73 390
10-Sep-2024;72 870;+790;+1%;72 780;72 520;73 360;13 425;73 100;73 330
09-Sep-2024;72 080;-450;-1%;72 810;71 720;72 970;20 360;72 380;72 460
06-Sep-2024;72 530;+640;+1%;72 300;72 160;73 050;18 180;72 810;73 050
05-Sep-2024;71 890;-100;-0%;71 910;71 580;72 320;19 265;71 560;71 590
04-Sep-2024;71 990;-1 410;-2%;72 480;71 610;72 480;27 250;71 670;71 740
03-Sep-2024;73 400;-230;-0%;73 490;72 840;73 760;25 760;72 830;72 860
02-Sep-2024;73 630;-300;-0%;74 090;73 450;74 090;22 499;73 540;73 610
30-Aug-2024;73 930;-150;-0%;73 840;73 460;74 490;30 506;74 100;74 150
29-Aug-2024;74 080;-830;-1%;74 200;73 700;74 440;32 764;74 130;74 140
28-Aug-2024;74 910;+60;+0%;75 020;74 500;75 460;34 527;74 520;74 560
27-Aug-2024;74 850;+480;+1%;74 740;74 560;75 100;33 063;74 910;74 940
26-Aug-2024;74 370;+830;+1%;73 540;73 440;75 060;57 626;75 010;75 020
23-Aug-2024;73 540;-400;-1%;73 610;73 310;73 770;43 762;73 430;73 440
22-Aug-2024;73 940;+230;+0%;73 920;73 530;74 250;54 401;73 880;73 900
21-Aug-2024;73 710;-220;-0%;74 050;73 250;74 120;65 512;73 900;73 910
20-Aug-2024;73 930;+300;+0%;74 050;73 630;74 280;66 518;73 760;73 770
19-Aug-2024;73 630;+20;+0%;73 410;72 970;74 230;103 534;73 880;73 900
16-Aug-2024;73 610;+1 330;+2%;73 340;73 090;74 080;110 707;73 910;73 930
15-Aug-2024;72 280;+220;+0%;72 000;71 980;72 890;5 815;72 680;72 980
14-Aug-2024;72 060;-210;-0%;72 140;71 560;72 520;9 085;71 820;71 990
13-Aug-2024;72 270;+820;+1%;72 150;71 940;72 990;10 100;71 920;72 240
12-Aug-2024;71 450;-20;-0%;71 610;71 210;72 100;14 825;71 980;72 010
09-Aug-2024;71 470;+720;+1%;70 490;70 490;71 980;15 015;71 520;71 720
08-Aug-2024;70 750;-580;-1%;71 100;70 540;71 180;18 565;70 540;70 590
07-Aug-2024;71 330;+280;+0%;70 960;70 780;71 800;18 590;71 220;71 250
06-Aug-2024;71 050;-1 810;-2%;70 560;70 500;72 070;25 620;70 710;70 820
05-Aug-2024;72 860;-670;-1%;73 580;72 060;73 810;31 695;72 060;72 150
02-Aug-2024;73 530;-1 250;-2%;74 510;73 150;74 650;23 905;73 560;73 600
01-Aug-2024;74 780;+1 190;+2%;74 040;74 040;75 320;19 473;74 520;74 680
31-Jul-2024;73 590;+290;+0%;72 920;72 650;74 500;28 826;74 100;74 500
30-Jul-2024;73 300;-880;-1%;73 580;72 930;73 800;34 574;73 290;73 350
