11-Mar-2020;33 500,00;0,00;0,00%;0,00;0,00;0,00;0;31 500,00;33 500,00
12-Mar-2020;32 100,00;--1 400,00;--4,18%;0,00;0,00;0,00;0;30 100,00;32 100,00
13-Mar-2020;32 100,00;0,00;0,00%;0,00;0,00;0,00;0;30 100,00;32 100,00
16-Mar-2020;32 100,00;0,00;0,00%;0,00;0,00;0,00;0;30 100,00;32 100,00
17-Mar-2020;30 000,00;--2 100,00;--6,54%;0,00;0,00;0,00;0;29 000,00;30 000,00
18-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;29 000,00;30 000,00
19-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;29 000,00;30 000,00
20-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;29 000,00;30 000,00
23-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
24-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
25-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
26-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
27-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
30-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
31-Mar-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
01-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
02-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
03-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
06-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
07-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
08-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
09-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
14-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
15-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
16-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
17-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
20-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
21-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
22-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
23-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
24-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
27-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
28-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
29-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
30-Apr-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
01-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
04-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
05-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
06-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
07-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
12-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
13-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
14-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
15-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
18-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
19-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
20-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
21-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
22-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
26-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
27-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
28-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
29-May-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;30 000,00
01-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
02-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
03-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
04-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
05-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
08-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
09-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
10-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
12-Jun-2020;30 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
15-Jun-2020;29 000,00;--1 000,00;--3,33%;0,00;0,00;0,00;0;0,00;0,00
16-Jun-2020;29 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
17-Jun-2020;29 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
18-Jun-2020;29 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
19-Jun-2020;29 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
22-Jun-2020;29 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
23-Jun-2020;29 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
24-Jun-2020;28 500,00;--500,00;--1,72%;0,00;0,00;0,00;0;0,00;0,00
25-Jun-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
26-Jun-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
29-Jun-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
30-Jun-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
01-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
02-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
03-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
06-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
07-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
08-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
09-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
10-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
13-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
14-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
15-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
16-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
17-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
20-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
21-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
22-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
23-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
24-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
27-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
28-Jul-2020;28 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
29-Jul-2020;29 000,00;+500,00;+1,75%;29 000,00;29 000,00;29 000,00;8;0,00;29 000,00
30-Jul-2020;29 250,00;+250,00;+0,86%;29 000,00;29 000,00;30 000,00;25;0,00;0,00
31-Jul-2020;29 300,00;+50,00;+0,17%;0,00;0,00;0,00;0;0,00;0,00
03-Aug-2020;30 500,00;+1 200,00;+4,10%;30 500,00;30 500,00;30 500,00;4;0,00;0,00
04-Aug-2020;33 200,00;+2 700,00;+8,85%;0,00;0,00;0,00;0;0,00;0,00
05-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
06-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
07-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
10-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
12-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
13-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
14-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
17-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
18-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
19-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
20-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
21-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
24-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
25-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
26-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
27-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
28-Aug-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
01-Sep-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;33 325,00
02-Sep-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
03-Sep-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
04-Sep-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
07-Sep-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
08-Sep-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
09-Sep-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
10-Sep-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-Sep-2020;33 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
14-Sep-2020;33 210,00;+10,00;+0,03%;0,00;0,00;0,00;0;0,00;0,00
15-Sep-2020;33 215,00;+5,00;+0,02%;0,00;0,00;0,00;0;0,00;0,00
16-Sep-2020;34 200,00;+985,00;+2,97%;34 000,00;34 000,00;34 100,00;5;0,00;34 100,00
17-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
18-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
21-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
22-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
23-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
24-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
25-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
28-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
29-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
30-Sep-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
01-Oct-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
02-Oct-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
05-Oct-2020;34 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
06-Oct-2020;33 780,00;--420,00;--1,23%;0,00;0,00;0,00;0;0,00;0,00
07-Oct-2020;33 780,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
08-Oct-2020;33 780,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
09-Oct-2020;33 780,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
12-Oct-2020;33 780,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
13-Oct-2020;33 780,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
14-Oct-2020;33 305,00;--475,00;--1,41%;0,00;0,00;0,00;0;0,00;0,00
15-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
16-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
19-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
20-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
21-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
22-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
23-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
26-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
27-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
28-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
29-Oct-2020;33 305,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
30-Oct-2020;32 835,00;--470,00;--1,41%;0,00;0,00;0,00;0;0,00;0,00
02-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
03-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
04-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
05-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
06-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
09-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
10-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
12-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
13-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
16-Nov-2020;32 835,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
17-Nov-2020;32 395,00;--440,00;--1,34%;0,00;0,00;0,00;0;0,00;0,00
18-Nov-2020;32 395,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
19-Nov-2020;32 395,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
20-Nov-2020;32 390,00;--5,00;--0,02%;0,00;0,00;0,00;0;0,00;0,00
23-Nov-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
24-Nov-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;34 170,00;0,00
25-Nov-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
26-Nov-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
27-Nov-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;34 500,00
30-Nov-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
01-Dec-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
02-Dec-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
03-Dec-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
04-Dec-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
07-Dec-2020;32 390,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
08-Dec-2020;32 000,00;--390,00;--1,20%;0,00;0,00;0,00;0;0,00;0,00
09-Dec-2020;32 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
10-Dec-2020;32 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-Dec-2020;32 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
14-Dec-2020;32 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
15-Dec-2020;32 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
16-Dec-2020;32 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
17-Dec-2020;32 200,00;+200,00;+0,63%;0,00;0,00;0,00;0;0,00;0,00
18-Dec-2020;32 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
21-Dec-2020;32 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
22-Dec-2020;32 200,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
23-Dec-2020;32 190,00;--10,00;--0,03%;0,00;0,00;0,00;0;0,00;0,00
24-Dec-2020;32 190,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
29-Dec-2020;32 190,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
30-Dec-2020;32 190,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
31-Dec-2020;32 190,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
04-Jan-2021;33 000,00;+810,00;+2,52%;0,00;0,00;0,00;0;0,00;0,00
05-Jan-2021;34 000,00;+1 000,00;+3,03%;0,00;0,00;0,00;0;0,00;0,00
06-Jan-2021;35 500,00;+1 500,00;+4,41%;0,00;0,00;0,00;0;0,00;0,00
07-Jan-2021;36 500,00;+1 000,00;+2,82%;0,00;0,00;0,00;0;0,00;0,00
08-Jan-2021;36 500,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-Jan-2021;37 010,00;+510,00;+1,40%;0,00;0,00;0,00;0;0,00;0,00
12-Jan-2021;37 010,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
13-Jan-2021;38 010,00;+1 000,00;+2,70%;0,00;0,00;0,00;0;0,00;0,00
14-Jan-2021;38 005,00;--5,00;--0,01%;0,00;0,00;0,00;0;0,00;0,00
15-Jan-2021;37 510,00;--495,00;--1,30%;0,00;0,00;0,00;0;0,00;0,00
18-Jan-2021;37 510,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
19-Jan-2021;37 520,00;+10,00;+0,03%;0,00;0,00;0,00;0;0,00;0,00
20-Jan-2021;37 520,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
21-Jan-2021;38 520,00;+1 000,00;+2,67%;0,00;0,00;0,00;0;0,00;0,00
22-Jan-2021;39 625,00;+1 105,00;+2,87%;0,00;0,00;0,00;0;0,00;0,00
25-Jan-2021;40 040,00;+415,00;+1,05%;0,00;0,00;0,00;0;0,00;0,00
26-Jan-2021;40 390,00;+350,00;+0,87%;0,00;0,00;0,00;0;0,00;0,00
27-Jan-2021;41 250,00;+860,00;+2,13%;0,00;0,00;0,00;0;0,00;0,00
28-Jan-2021;41 250,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
29-Jan-2021;41 250,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
01-Feb-2021;41 250,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
02-Feb-2021;43 000,00;+1 750,00;+4,24%;0,00;0,00;0,00;0;0,00;0,00
03-Feb-2021;44 500,00;+1 500,00;+3,49%;0,00;0,00;0,00;0;0,00;0,00
04-Feb-2021;45 225,00;+725,00;+1,63%;0,00;0,00;0,00;0;0,00;0,00
05-Feb-2021;45 700,00;+475,00;+1,05%;46 500,00;46 500,00;47 000,00;6;47 025,00;0,00
08-Feb-2021;45 700,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
09-Feb-2021;45 700,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
10-Feb-2021;45 700,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-Feb-2021;45 700,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
12-Feb-2021;47 000,00;+1 300,00;+2,84%;47 000,00;47 000,00;47 000,00;2;0,00;0,00
15-Feb-2021;47 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
16-Feb-2021;47 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
17-Feb-2021;48 000,00;+1 000,00;+2,13%;48 000,00;48 000,00;48 000,00;2;0,00;0,00
18-Feb-2021;49 000,00;+1 000,00;+2,08%;0,00;0,00;0,00;0;0,00;0,00
19-Feb-2021;50 000,00;+1 000,00;+2,04%;49 000,00;49 000,00;49 000,00;2;0,00;0,00
22-Feb-2021;50 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
23-Feb-2021;51 000,00;+1 000,00;+2,00%;0,00;0,00;0,00;0;0,00;0,00
24-Feb-2021;51 800,00;+800,00;+1,57%;51 800,00;51 800,00;51 800,00;5;0,00;0,00
25-Feb-2021;51 800,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
26-Feb-2021;51 800,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
01-Mar-2021;52 610,00;+810,00;+1,56%;0,00;0,00;0,00;0;0,00;0,00
02-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
03-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
04-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
05-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
08-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
09-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
10-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
12-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
15-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
16-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
17-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
18-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
19-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
22-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
23-Mar-2021;52 610,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
24-Mar-2021;52 250,00;--360,00;--0,68%;0,00;0,00;0,00;0;0,00;0,00
25-Mar-2021;52 250,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
26-Mar-2021;51 750,00;--500,00;--0,96%;0,00;0,00;0,00;0;0,00;0,00
29-Mar-2021;51 000,00;--750,00;--1,45%;0,00;0,00;0,00;0;0,00;0,00
30-Mar-2021;50 500,00;--500,00;--0,98%;0,00;0,00;0,00;0;0,00;0,00
31-Mar-2021;50 000,00;--500,00;--0,99%;0,00;0,00;0,00;0;0,00;0,00
01-Apr-2021;50 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
06-Apr-2021;50 000,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
07-Apr-2021;49 750,00;--250,00;--0,50%;0,00;0,00;0,00;0;0,00;0,00
08-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
09-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
12-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
13-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
14-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
15-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
16-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
19-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
20-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
21-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
22-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
23-Apr-2021;49 750,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
26-Apr-2021;46 450,00;--3 300,00;--6,63%;0,00;0,00;0,00;0;0,00;0,00
27-Apr-2021;46 450,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
28-Apr-2021;47 100,00;+650,00;+1,40%;0,00;0,00;0,00;0;0,00;0,00
29-Apr-2021;47 100,00;0,00;0,00%;0,00;0,00;0,00;0;47 465,00;0,00
30-Apr-2021;45 165,00;--1 935,00;--4,11%;0,00;0,00;0,00;0;0,00;0,00
04-May-2021;45 165,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
05-May-2021;45 165,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
06-May-2021;45 165,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
07-May-2021;45 165,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
10-May-2021;45 165,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
11-May-2021;44 635,00;--530,00;--1,17%;0,00;0,00;0,00;0;0,00;0,00
12-May-2021;44 635,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
13-May-2021;44 635,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
14-May-2021;44 095,00;--540,00;--1,21%;0,00;0,00;0,00;0;0,00;0,00
17-May-2021;44 095,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
18-May-2021;43 650,00;--445,00;--1,01%;0,00;0,00;0,00;0;0,00;0,00
19-May-2021;43 650,00;0,00;0,00%;0,00;0,00;0,00;0;0,00;0,00
